Opportunity ID,"Technology
Primary",Country,B2B Sales Medium,Sales Velocity,Opportunity Status,Sales Stage Iterations,Opportunity Size (USD),Client Revenue Sizing,Client Employee Sizing,Business from Client Last Year,Compete Intel,Opportunity Sizing
N00041926,ERP Implementation,Spain,Enterprise Sellers,18,Won,1,49813,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00049915,ERP Implementation,Italy,Marketing,84,Lost,6,37987,100K or less,1K or less,0 (No business),Known,30K to 40K
N00017570,Technical Business Solutions,Germany,Enterprise Sellers,44,Lost,3,21205,250K to 500K,1K or less,0 (No business),Unknown,20K to 30K
N00021114,ERP Implementation,Spain,Enterprise Sellers,63,Lost,2,18000,100K or less,1K to 5K,0 (No business),Unknown,10K to 20K
N00042657,Technical Business Solutions,France,Marketing,16,Won,1,112,100K or less,1K or less,0 (No business),,10K or less
N00018528,ERP Implementation,Germany,Enterprise Sellers,74,Lost,2,2631,100K or less,1K or less,0 (No business),Unknown,10K or less
N00018211,ERP Implementation,Spain,Marketing,16,Lost,2,48922,500K to 1M,5K to 15K,"25,000 - 50,000",Unknown,40K to 50K
N00038059,ERP Implementation,Spain,Marketing,16,Lost,3,15000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00019307,Technical Business Solutions,Spain,Enterprise Sellers,40,Lost,6,46332,250K to 500K,15K to 25K,0 (No business),Unknown,40K to 50K
N00064630,ERP Implementation,Italy,Marketing,49,Lost,4,49135,100K or less,1K or less,0 (No business),Known,40K to 50K
N00053424,ERP Implementation,Sweden,Enterprise Sellers,39,Lost,5,0,100K or less,15K to 25K,"More than 100,000",Known,10K or less
N00036597,Technical Business Solutions,France,Enterprise Sellers,7,Lost,9,48412,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00074639,ERP Implementation,United Kingdom,Enterprise Sellers,7,Won,4,13200,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00074897,ERP Implementation,Italy,Marketing,18,Lost,2,47640,100K or less,1K or less,"25,000 - 50,000",Unknown,40K to 50K
N00070119,ERP Implementation,Italy,Marketing,37,Lost,1,36034,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00066751,Technical Business Solutions,Italy,Enterprise Sellers,26,Lost,2,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00072826,ERP Implementation,United Kingdom,Enterprise Sellers,16,Lost,3,38559,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00073832,ERP Implementation,United Kingdom,Marketing,18,Lost,2,35820,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00033901,ERP Implementation,France,Enterprise Sellers,26,Lost,2,25488,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00014772,Technical Business Solutions,Spain,Enterprise Sellers,66,Lost,2,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00042498,Technical Business Solutions,France,Marketing,14,Lost,2,48221,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00075979,ERP Implementation,Italy,Marketing,9,Won,3,42797,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00033187,ERP Implementation,Germany,Enterprise Sellers,16,Lost,4,36222,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00038285,Technical Business Solutions,Germany,Marketing,17,Lost,3,30864,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00031374,Technical Business Solutions,Germany,Marketing,16,Lost,3,33157,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00005658,Technical Business Solutions,France,Marketing,89,Lost,2,44032,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00054018,ERP Implementation,Sweden,Marketing,76,Lost,2,128665,More than 1M,1K to 5K,0 (No business),,More than 60K
N00038682,ERP Implementation,France,Marketing,22,Lost,2,44731,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00043368,Technical Business Solutions,France,Marketing,14,Won,1,2089,100K or less,1K or less,0 (No business),,10K or less
N00019124,ERP Implementation,France,Enterprise Sellers,63,Lost,2,0,500K to 1M,5K to 15K,0 (No business),Unknown,10K or less
N00009743,Technical Business Solutions,Spain,Enterprise Sellers,73,Lost,2,33530,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00015496,Technical Business Solutions,France,Marketing,68,Lost,2,35767,100K or less,15K to 25K,0 (No business),,30K to 40K
N00067756,ERP Implementation,Sweden,Enterprise Sellers,29,Lost,5,31814,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00008591,ERP Implementation,France,Enterprise Sellers,70,Lost,4,37619,500K to 1M,More than 25K,0 (No business),Unknown,30K to 40K
N00063002,ERP Implementation,United Kingdom,Enterprise Sellers,40,Lost,3,11104,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00035772,Technical Business Solutions,France,Enterprise Sellers,16,Lost,4,30883,100K or less,1K or less,0 (No business),,30K to 40K
N00066875,Technical Business Solutions,United Kingdom,Enterprise Sellers,16,Lost,3,5000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00035975,ERP Implementation,Spain,Enterprise Sellers,4,Lost,8,0,100K or less,1K or less,0 (No business),Unknown,10K or less
N00065627,ERP Implementation,United Kingdom,Enterprise Sellers,26,Lost,2,13987,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00033604,ERP Implementation,Spain,Partners,16,Lost,2,9750,100K or less,1K or less,0 (No business),Unknown,10K or less
N00046147,ERP Implementation,United Kingdom,Enterprise Sellers,89,Lost,2,15000,100K or less,More than 25K,0 (No business),Unknown,10K to 20K
N00040386,Technical Business Solutions,Germany,Marketing,17,Won,3,29602,100K or less,1K or less,"25,000 - 50,000",Unknown,20K to 30K
N00000109,ERP Implementation,Spain,Marketing,84,Won,5,43965,500K to 1M,15K to 25K,"More than 100,000",Known,40K to 50K
N00035776,ERP Implementation,Germany,Marketing,21,Won,3,37332,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00018934,ERP Implementation,Spain,Marketing,62,Lost,2,50704,More than 1M,1K or less,"More than 100,000",Known,50K to 60K
N00035892,ERP Implementation,Spain,Partners,15,Lost,2,1,100K or less,1K or less,0 (No business),Unknown,10K or less
N00052833,ERP Implementation,Netherlands,Marketing,89,Lost,2,33783,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00076810,ERP Implementation,Netherlands,Marketing,11,Lost,2,38862,100K or less,1K or less,0 (No business),,30K to 40K
N00058744,ERP Implementation,Sweden,Marketing,58,Lost,3,24960,More than 1M,1K or less,0 (No business),,20K to 30K
N00039495,Technical Business Solutions,Germany,Enterprise Sellers,17,Won,3,89486,100K or less,1K or less,0 (No business),Unknown,More than 60K
N00015923,Technical Business Solutions,Spain,Marketing,43,Lost,4,87557,500K to 1M,5K to 15K,"More than 100,000",Unknown,More than 60K
N00047894,ERP Implementation,Italy,Marketing,87,Lost,6,11259,100K to 250K,1K to 5K,0 (No business),Unknown,10K to 20K
N00008760,ERP Implementation,Spain,Marketing,77,Lost,2,16393,100K or less,1K to 5K,0 (No business),Unknown,10K to 20K
N00001477,Technical Business Solutions,France,Enterprise Sellers,77,Lost,7,16783,250K to 500K,1K to 5K,0 (No business),Unknown,10K to 20K
N00028838,Technical Business Solutions,Spain,Enterprise Sellers,26,Lost,2,23016,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00035777,ERP Implementation,Spain,Marketing,17,Lost,4,38482,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00075705,Technical Business Solutions,Netherlands,Marketing,12,Won,2,2591,100K or less,1K or less,0 (No business),Unknown,10K or less
N00047192,ERP Implementation,Italy,Marketing,89,Lost,3,45351,More than 1M,5K to 15K,0 (No business),Unknown,40K to 50K
N00076491,ERP Implementation,Sweden,Marketing,9,Lost,2,52594,100K or less,1K or less,0 (No business),Unknown,50K to 60K
N00014679,ERP Implementation,France,Partners,60,Lost,2,19987,100K or less,5K to 15K,0 (No business),Unknown,10K to 20K
N00070100,Technical Business Solutions,Sweden,Enterprise Sellers,37,Lost,2,18169,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00066179,ERP Implementation,United Kingdom,Marketing,37,Lost,3,49268,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00051114,ERP Implementation,Sweden,Marketing,91,Won,4,57426,More than 1M,1K or less,0 (No business),,50K to 60K
N00011526,ERP Implementation,Spain,Enterprise Sellers,84,Lost,4,10000,500K to 1M,5K to 15K,0 (No business),Unknown,10K to 20K
N00073826,ERP Implementation,Italy,Enterprise Sellers,15,Lost,2,28803,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00052229,Analytics,Sweden,Marketing,44,Won,6,8030,100K or less,15K to 25K,0 (No business),,10K or less
N00018749,ERP Implementation,Germany,Marketing,37,Won,3,34547,100K or less,1K or less,0 (No business),Known,30K to 40K
N00047903,Technical Business Solutions,United Kingdom,Enterprise Sellers,81,Lost,4,25082,100K or less,1K to 5K,0 (No business),Unknown,20K to 30K
N00026986,ERP Implementation,France,Enterprise Sellers,22,Lost,2,22555,100K or less,1K or less,0 (No business),,20K to 30K
N00039629,ERP Implementation,Germany,Marketing,21,Lost,2,35966,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00023423,ERP Implementation,Spain,Enterprise Sellers,62,Won,2,15000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00058329,Technical Business Solutions,Sweden,Enterprise Sellers,15,Lost,9,47091,500K to 1M,1K or less,0 (No business),Unknown,40K to 50K
N00072420,Technical Business Solutions,Italy,Marketing,16,Lost,2,24298,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00053271,Technical Business Solutions,Italy,Marketing,60,Lost,2,31232,100K or less,1K to 5K,0 (No business),Known,30K to 40K
N00052376,ERP Implementation,Italy,Enterprise Sellers,91,Lost,2,15000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00009065,ERP Implementation,Spain,Enterprise Sellers,68,Lost,4,11090,500K to 1M,1K to 5K,0 (No business),Known,10K to 20K
N00047008,ERP Implementation,United Kingdom,Marketing,90,Lost,3,49534,100K or less,1K or less,0 (No business),Known,40K to 50K
N00041719,ERP Implementation,France,Marketing,3,Lost,2,48025,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00040638,ERP Implementation,France,Enterprise Sellers,16,Lost,3,0,100K or less,1K or less,0 (No business),Unknown,10K or less
N00024267,ERP Implementation,Germany,Marketing,59,Lost,2,75580,100K or less,1K or less,0 (No business),Known,More than 60K
N00022284,ERP Implementation,Germany,Marketing,45,Lost,3,58346,100K or less,1K or less,0 (No business),Known,50K to 60K
N00066145,Technical Business Solutions,Italy,Enterprise Sellers,26,Lost,3,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00014805,ERP Implementation,France,Enterprise Sellers,79,Won,4,3000,More than 1M,1K or less,0 (No business),Unknown,10K or less
N00022540,ERP Implementation,France,Tele Sales,30,Won,6,13951,100K or less,1K or less,"25,000 - 50,000",Unknown,10K to 20K
N00046274,Technical Business Solutions,Italy,Enterprise Sellers,81,Lost,4,34337,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00053186,ERP Implementation,Sweden,Marketing,13,Lost,2,32659,100K or less,5K to 15K,0 (No business),Unknown,30K to 40K
N00055324,Technical Business Solutions,Netherlands,Enterprise Sellers,49,Lost,2,21196,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00012271,ERP Implementation,Spain,Marketing,86,Lost,2,57674,More than 1M,More than 25K,0 (No business),Unknown,50K to 60K
N00046676,ERP Implementation,Sweden,Marketing,86,Lost,2,35070,100K to 250K,1K or less,0 (No business),,30K to 40K
N00030246,Technical Business Solutions,Germany,Partners,16,Lost,5,34256,100K or less,1K or less,0 (No business),Known,30K to 40K
N00021836,ERP Implementation,Germany,Marketing,54,Lost,3,45163,More than 1M,1K or less,0 (No business),Unknown,40K to 50K
N00014110,ERP Implementation,Spain,Enterprise Sellers,53,Lost,2,12000,250K to 500K,5K to 15K,0 (No business),Unknown,10K to 20K
N00073097,ERP Implementation,Netherlands,Marketing,17,Lost,2,49663,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00031298,ERP Implementation,Spain,Enterprise Sellers,45,Won,4,28502,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00037675,ERP Implementation,France,Enterprise Sellers,3,Lost,5,45446,100K or less,1K or less,0 (No business),,40K to 50K
N00008486,ERP Implementation,France,Marketing,75,Lost,2,34228,500K to 1M,15K to 25K,0 (No business),Unknown,30K to 40K
N00077459,ERP Implementation,Netherlands,Marketing,2,Lost,2,36825,100K or less,1K or less,"50,000 - 100,000",Unknown,30K to 40K
N00038999,Technical Business Solutions,France,Enterprise Sellers,17,Lost,3,34507,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00011392,ERP Implementation,Germany,Marketing,70,Lost,2,24361,100K or less,5K to 15K,0 (No business),Unknown,20K to 30K
N00010452,Technical Business Solutions,Spain,Marketing,82,Lost,3,43260,250K to 500K,1K or less,0 (No business),Known,40K to 50K
N00071425,ERP Implementation,Italy,Marketing,34,Lost,1,40909,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00052150,ERP Implementation,Netherlands,Enterprise Sellers,57,Won,4,40943,100K or less,1K or less,"25,000 - 50,000",Unknown,40K to 50K
N00044138,ERP Implementation,Germany,Marketing,11,Lost,1,0,100K or less,1K or less,"25,000 - 50,000",Unknown,10K or less
N00012261,Technical Business Solutions,France,Enterprise Sellers,62,Lost,2,16083,250K to 500K,1K to 5K,0 (No business),Unknown,10K to 20K
N00017440,ERP Implementation,Spain,Marketing,72,Won,4,25000,250K to 500K,15K to 25K,0 (No business),,20K to 30K
N00074785,ERP Implementation,United Kingdom,Enterprise Sellers,7,Lost,3,11301,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00022094,ERP Implementation,France,Marketing,59,Won,5,7000,100K or less,1K or less,0 (No business),,10K or less
N00027084,Technical Business Solutions,France,Enterprise Sellers,16,Lost,3,36523,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00029406,Technical Business Solutions,Germany,Enterprise Sellers,46,Won,2,23759,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00003262,ERP Implementation,France,Marketing,72,Lost,5,24346,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00004087,ERP Implementation,France,Marketing,91,Lost,4,17899,100K or less,1K or less,0 (No business),Known,10K to 20K
N00002978,ERP Implementation,Germany,Marketing,89,Lost,4,40624,500K to 1M,5K to 15K,0 (No business),Unknown,40K to 50K
N00058380,ERP Implementation,Italy,Partners,49,Lost,4,0,More than 1M,1K or less,0 (No business),Unknown,10K or less
N00009815,ERP Implementation,France,Enterprise Sellers,91,Won,1,47161,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00012764,ERP Implementation,France,Marketing,65,Lost,3,41534,500K to 1M,1K or less,0 (No business),Unknown,40K to 50K
N00036009,ERP Implementation,France,Online Leads,35,Lost,4,45484,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00038797,Technical Business Solutions,Spain,Enterprise Sellers,23,Won,2,2197,100K or less,1K or less,0 (No business),Unknown,10K or less
N00011205,ERP Implementation,Germany,Enterprise Sellers,55,Won,3,39149,100K or less,1K or less,"0 - 25,000",Unknown,30K to 40K
N00036484,ERP Implementation,France,Enterprise Sellers,33,Lost,3,10000,100K or less,1K or less,0 (No business),,10K to 20K
N00008013,ERP Implementation,France,Enterprise Sellers,44,Lost,2,26763,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00052281,ERP Implementation,United Kingdom,Enterprise Sellers,87,Lost,2,15000,250K to 500K,1K or less,0 (No business),Unknown,10K to 20K
N00068485,ERP Implementation,United Kingdom,Marketing,27,Won,3,82289,100K or less,1K or less,"50,000 - 100,000",,More than 60K
N00042916,Technical Business Solutions,Germany,Partners,15,Won,2,2621,100K or less,1K or less,0 (No business),Unknown,10K or less
N00017354,Technical Business Solutions,France,Enterprise Sellers,54,Lost,2,30690,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00048283,ERP Implementation,United Kingdom,Enterprise Sellers,24,Won,4,9000,250K to 500K,1K to 5K,0 (No business),Unknown,10K or less
N00012427,ERP Implementation,France,Marketing,55,Lost,5,44540,100K or less,1K or less,0 (No business),,40K to 50K
N00075564,Technical Business Solutions,Italy,Enterprise Sellers,15,Lost,3,40036,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00056535,ERP Implementation,United Kingdom,Marketing,71,Lost,3,52929,100K to 250K,1K or less,0 (No business),Known,50K to 60K
N00044090,ERP Implementation,Spain,Marketing,0,Lost,3,47945,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00025473,ERP Implementation,Spain,Enterprise Sellers,26,Lost,3,44111,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00037653,ERP Implementation,Spain,Enterprise Sellers,16,Lost,4,36907,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00014873,ERP Implementation,France,Enterprise Sellers,44,Lost,4,18201,500K to 1M,1K to 5K,0 (No business),Unknown,10K to 20K
N00002786,Technical Business Solutions,Spain,Marketing,89,Lost,3,21086,100K to 250K,5K to 15K,0 (No business),Unknown,20K to 30K
N00071099,ERP Implementation,United Kingdom,Enterprise Sellers,34,Won,3,14000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00062379,Technical Business Solutions,Italy,Enterprise Sellers,16,Lost,4,37131,100K or less,1K or less,"50,000 - 100,000",Unknown,30K to 40K
N00008455,ERP Implementation,Spain,Enterprise Sellers,86,Lost,2,6000,100K or less,1K to 5K,0 (No business),,10K or less
N00069625,ERP Implementation,Italy,Marketing,13,Lost,4,40334,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00052685,ERP Implementation,Sweden,Marketing,86,Lost,2,15322,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00029672,ERP Implementation,France,Partners,36,Lost,2,126069,100K or less,1K or less,0 (No business),Unknown,More than 60K
N00009416,Technical Business Solutions,Germany,Marketing,91,Won,2,1500,100K or less,5K to 15K,0 (No business),Known,10K or less
N00022318,ERP Implementation,Spain,Enterprise Sellers,62,Won,2,27900,100K to 250K,5K to 15K,0 (No business),Unknown,20K to 30K
N00054452,ERP Implementation,United Kingdom,Marketing,77,Lost,2,41633,More than 1M,1K or less,0 (No business),Known,40K to 50K
N00050192,ERP Implementation,Sweden,Enterprise Sellers,62,Lost,2,15000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00051941,Technical Business Solutions,United Kingdom,Enterprise Sellers,91,Won,3,10000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00001352,ERP Implementation,France,Marketing,88,Lost,2,0,100K or less,1K or less,0 (No business),Unknown,10K or less
N00066146,Technical Business Solutions,Sweden,Enterprise Sellers,36,Lost,3,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00009813,Technical Business Solutions,Spain,Enterprise Sellers,65,Lost,4,12000,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00040549,Technical Business Solutions,Germany,Marketing,11,Lost,2,39936,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00004443,ERP Implementation,Spain,Enterprise Sellers,73,Lost,4,27093,100K or less,5K to 15K,0 (No business),Unknown,20K to 30K
N00058987,Technical Business Solutions,Italy,Enterprise Sellers,46,Lost,2,34439,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00048473,ERP Implementation,United Kingdom,Marketing,81,Lost,3,49931,100K or less,1K or less,0 (No business),Known,40K to 50K
N00031402,Technical Business Solutions,France,Enterprise Sellers,46,Won,1,21417,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00022589,ERP Implementation,Spain,Enterprise Sellers,57,Won,2,23226,250K to 500K,5K to 15K,"50,000 - 100,000",Unknown,20K to 30K
N00008505,ERP Implementation,France,Marketing,81,Won,4,37494,100K or less,1K or less,0 (No business),,30K to 40K
N00055258,ERP Implementation,United Kingdom,Marketing,47,Lost,5,65837,More than 1M,1K or less,0 (No business),Known,More than 60K
N00048929,Technical Business Solutions,Sweden,Marketing,89,Lost,2,25000,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00060763,ERP Implementation,United Kingdom,Marketing,62,Lost,2,48901,100K to 250K,1K to 5K,0 (No business),Unknown,40K to 50K
N00026737,ERP Implementation,Spain,Enterprise Sellers,52,Lost,2,21039,100K or less,1K or less,0 (No business),Known,20K to 30K
N00071180,Technical Business Solutions,Sweden,Marketing,30,Lost,2,45327,100K or less,1K or less,0 (No business),Known,40K to 50K
N00022266,Technical Business Solutions,Spain,Enterprise Sellers,50,Lost,2,25000,250K to 500K,1K to 5K,0 (No business),Unknown,20K to 30K
N00008192,Technical Business Solutions,France,Marketing,55,Lost,4,45501,500K to 1M,1K or less,0 (No business),Known,40K to 50K
N00065075,ERP Implementation,United Kingdom,Enterprise Sellers,47,Lost,3,35962,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00013043,ERP Implementation,France,Partners,82,Won,3,15501,100K or less,1K or less,0 (No business),Known,10K to 20K
N00014928,ERP Implementation,France,Marketing,74,Lost,2,20177,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00052307,ERP Implementation,Italy,Marketing,64,Lost,2,43786,100K to 250K,1K or less,0 (No business),Known,40K to 50K
N00051340,ERP Implementation,Netherlands,Enterprise Sellers,85,Lost,3,36770,100K to 250K,1K or less,0 (No business),,30K to 40K
N00062306,ERP Implementation,Sweden,Enterprise Sellers,39,Lost,4,18125,100K or less,1K or less,0 (No business),Known,10K to 20K
N00076869,Technical Business Solutions,Netherlands,Enterprise Sellers,12,Lost,1,42041,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00054101,ERP Implementation,Sweden,Marketing,47,Won,5,37798,100K to 250K,1K or less,"0 - 25,000",,30K to 40K
N00026970,ERP Implementation,Germany,Marketing,1,Lost,2,45598,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00041394,Technical Business Solutions,Spain,Marketing,7,Lost,3,2000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00063983,Technical Business Solutions,United Kingdom,Marketing,39,Won,4,49694,100K or less,1K or less,0 (No business),,40K to 50K
N00019843,Technical Business Solutions,Spain,Enterprise Sellers,66,Lost,2,12918,250K to 500K,15K to 25K,0 (No business),Known,10K to 20K
N00065360,ERP Implementation,Sweden,Enterprise Sellers,26,Lost,3,23305,100K or less,1K or less,"More than 100,000",Unknown,20K to 30K
N00061086,Technical Business Solutions,Sweden,Enterprise Sellers,43,Lost,3,34654,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00020250,Technical Business Solutions,Spain,Marketing,25,Lost,3,31453,More than 1M,More than 25K,"More than 100,000",,30K to 40K
N00039536,ERP Implementation,Germany,Enterprise Sellers,23,Lost,2,11627,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00062183,Technical Business Solutions,Italy,Marketing,46,Lost,3,37954,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00050867,Technical Business Solutions,Italy,Enterprise Sellers,89,Lost,2,10000,500K to 1M,15K to 25K,0 (No business),Unknown,10K to 20K
N00008994,ERP Implementation,Spain,Enterprise Sellers,78,Lost,3,35947,More than 1M,1K or less,0 (No business),Unknown,30K to 40K
N00043679,Technical Business Solutions,Spain,Enterprise Sellers,9,Lost,2,45881,100K or less,1K or less,0 (No business),,40K to 50K
N00075551,ERP Implementation,Italy,Marketing,7,Lost,2,5000,100K or less,1K or less,0 (No business),Unknown,10K or less
N00024228,Technical Business Solutions,Spain,Enterprise Sellers,55,Won,4,47207,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00015602,ERP Implementation,France,Tele Sales,75,Lost,5,0,500K to 1M,1K or less,0 (No business),Unknown,10K or less
N00014592,Technical Business Solutions,France,Enterprise Sellers,44,Lost,2,29606,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00031485,Technical Business Solutions,Germany,Marketing,27,Lost,3,144227,100K or less,1K or less,0 (No business),,More than 60K
N00045418,Technical Business Solutions,Spain,Marketing,2,Won,3,432,100K or less,1K or less,0 (No business),Unknown,10K or less
N00062818,Technical Business Solutions,Italy,Marketing,42,Lost,3,54009,100K or less,1K or less,0 (No business),Unknown,50K to 60K
N00007981,ERP Implementation,Spain,Marketing,87,Lost,2,12041,100K or less,5K to 15K,0 (No business),Unknown,10K to 20K
N00023760,ERP Implementation,Spain,Enterprise Sellers,62,Won,1,4478,100K or less,1K or less,0 (No business),Unknown,10K or less
N00073956,ERP Implementation,United Kingdom,Marketing,7,Lost,2,19611,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00067361,ERP Implementation,Netherlands,Marketing,40,Lost,2,42271,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00027567,ERP Implementation,Spain,Marketing,29,Lost,3,116711,100K or less,1K or less,0 (No business),Unknown,More than 60K
N00040091,ERP Implementation,Spain,Enterprise Sellers,0,Lost,5,21353,100K or less,1K or less,0 (No business),,20K to 30K
N00006064,Technical Business Solutions,Spain,Marketing,72,Lost,5,58196,100K or less,1K or less,0 (No business),Unknown,50K to 60K
N00030041,Technical Business Solutions,Germany,Marketing,47,Lost,3,5000,100K or less,1K or less,0 (No business),,10K or less
N00002291,ERP Implementation,Germany,Enterprise Sellers,23,Won,7,21228,100K or less,5K to 15K,0 (No business),Unknown,20K to 30K
N00021969,ERP Implementation,Germany,Enterprise Sellers,60,Lost,2,15060,100K or less,1K or less,0 (No business),Unknown,10K to 20K
N00071902,ERP Implementation,Sweden,Marketing,4,Lost,2,46102,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00040888,ERP Implementation,Spain,Enterprise Sellers,22,Won,1,5902,100K or less,1K or less,0 (No business),Unknown,10K or less
N00003776,ERP Implementation,Germany,Marketing,67,Lost,4,40020,More than 1M,1K to 5K,0 (No business),Unknown,40K to 50K
N00053802,ERP Implementation,United Kingdom,Marketing,63,Lost,2,25000,100K to 250K,1K or less,0 (No business),Unknown,20K to 30K
N00019850,Legacy Modernization,Spain,Marketing,5,Lost,4,27465,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00016251,ERP Implementation,France,Partners,64,Lost,3,27404,More than 1M,1K or less,0 (No business),Unknown,20K to 30K
N00054192,ERP Implementation,United Kingdom,Enterprise Sellers,62,Lost,5,37282,100K or less,More than 25K,0 (No business),Unknown,30K to 40K
N00025339,Technical Business Solutions,Spain,Enterprise Sellers,53,Lost,2,3300,100K or less,1K or less,0 (No business),Unknown,10K or less
N00025803,ERP Implementation,Spain,Marketing,56,Lost,2,10940,100K or less,1K or less,0 (No business),Known,10K to 20K
N00005424,Technical Business Solutions,Spain,Marketing,86,Lost,2,38928,500K to 1M,More than 25K,0 (No business),Known,30K to 40K
N00019245,Legacy Modernization,Germany,Enterprise Sellers,51,Lost,2,13157,100K or less,15K to 25K,0 (No business),Unknown,10K to 20K
N00055972,Technical Business Solutions,Italy,Enterprise Sellers,78,Lost,2,34585,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00028389,ERP Implementation,France,Marketing,47,Lost,2,45216,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00017653,Technical Business Solutions,Germany,Enterprise Sellers,60,Won,3,46231,250K to 500K,15K to 25K,0 (No business),Unknown,40K to 50K
N00062473,ERP Implementation,Netherlands,Marketing,54,Lost,2,0,100K or less,1K or less,0 (No business),Unknown,10K or less
N00017636,Technical Business Solutions,France,Enterprise Sellers,73,Won,3,25472,100K or less,1K or less,0 (No business),Unknown,20K to 30K
N00050929,ERP Implementation,Italy,Enterprise Sellers,61,Lost,7,39175,100K or less,1K or less,0 (No business),Unknown,30K to 40K
N00069746,ERP Implementation,Italy,Enterprise Sellers,14,Lost,6,40749,100K or less,1K or less,0 (No business),Unknown,40K to 50K
N00005937,Technical Business Solutions,Spain,Marketing,83,Lost,4,30615,100K or less,1K or less,0 (No business),Known,30K to 40K
